2016	BRAND
ASUS	BRAND
15.6	SCREENSIZE
High	OTHER
Performance	OTHER
Premium	DISPLAY
HD	DISPLAY
Laptop	DISPLAY
-LRB-	OTHER
Intel	OTHER
Quad	OTHER
Core	OTHER
Pentium	OTHER
N3700	OTHER
Processor	OTHER
up	OTHER
to	OTHER
2.4	OTHER
GHz	OTHER
,	RAM
4GB	RAM
RAM	RAM
,	RAM
500GB	HARDDISK
HDD	HARDDISK
,	HARDDISK
SuperMulti	OTHER
DVD	OTHER
,	OTHER
Wifi	OTHER
,	OTHER
HDMI	OTHER
,	OTHER
VGA	OTHER
,	OTHER
Webcam	OTHER
,	OTHER
Windows	OS
10-silver	OS
-RRB-	OTHER
2016	BRAND
Dell	BRAND
Inspiron	BRAND
15	BRAND
5000	BRAND
15.6	SCREENSIZE
''	SCREENSIZE
FHD	DISPLAY
Touchscreen	DISPLAY
Laptop	DISPLAY
,	DISPLAY
Intel	OTHER
Core	OTHER
i5-6200U	OTHER
,	RAM
8	RAM
GB	RAM
RAM	RAM
,	RAM
1	HARDDISK
TB	HARDDISK
HDD	HARDDISK
,	HARDDISK
DVD	OTHER
,	OTHER
Backlit	OTHER
keyboard	OTHER
,	OTHER
HDMI	OTHER
,	OTHER
Bluetooth	OTHER
,	OTHER
802.11	OTHER
ac	OTHER
,	OTHER
RealSense	OTHER
3D	OTHER
Webcam	OTHER
,	OTHER
Windows	OS
10-MaxxAudio	OS
Pro	BRAND
2016	BRAND
Lenovo	BRAND
Premium	BRAND
Built	OTHER
High	OTHER
Performance	OTHER
15.6	SCREENSIZE
inch	SCREENSIZE
HD	DISPLAY
Laptop	DISPLAY
-LRB-	OTHER
AMD	OTHER
FX7500	OTHER
Processor	OTHER
,	RAM
8GB	RAM
RAM	RAM
1T	HARDDISK
HDD	HARDDISK
,	HARDDISK
DVD	OTHER
RW	OTHER
,	OTHER
Bluetooth	OTHER
,	OTHER
Webcam	OTHER
,	OTHER
WiFi	OTHER
,	OTHER
HDMI	OTHER
,	OTHER
Windows	OS
10	OS
-RRB-	OTHER
-	OTHER
Black	COLOR
2016	BRAND
Lenovo	BRAND
ThinkPad	BRAND
Edge	BRAND
E560	BRAND
15.6	SCREENSIZE
''	SCREENSIZE
Business	OTHER
Laptop	OTHER
:	OTHER
Intel	OTHER
6th	OTHER
Gen	OTHER
Core	OTHER
i5-6200U	OTHER
|	RAM
8GB	RAM
