CHAPTER	O	O
II	O	O
Mr.	PERS	PERS
Weston	PERS	PERS
was	O	O
a	O	O
native	O	O
of	O	O
Highbury	O	O
,	O	O
and	O	O
born	O	O
of	O	O
a	O	O
respectable	O	O
family	O	O
,	O	O
which	O	O
for	O	O
the	O	O
last	O	O
two	O	O
or	O	O
three	O	O
generations	O	O
had	O	O
been	O	O
rising	O	O
into	O	O
gentility	O	O
and	O	O
property	O	O
.	O	O
He	O	O
had	O	O
received	O	O
a	O	O
good	O	O
education	O	O
,	O	O
but	O	O
,	O	O
on	O	O
succeeding	O	O
early	O	O
in	O	O
life	O	O
to	O	O
a	O	O
small	O	O
independence	O	O
,	O	O
had	O	O
become	O	O
indisposed	O	O
for	O	O
any	O	O
of	O	O
the	O	O
more	O	O
homely	O	O
pursuits	O	O
in	O	O
which	O	O
his	O	O
brothers	O	O
were	O	O
engaged	O	O
,	O	O
and	O	O
had	O	O
satisfied	O	O
an	O	O
active	O	O
,	O	O
cheerful	O	O
mind	O	O
and	O	O
social	O	O
temper	O	O
by	O	O
entering	O	O
into	O	O
the	O	O
militia	O	O
of	O	O
his	O	O
county	O	O
,	O	O
then	O	O
embodied	O	O
.	O	O
Captain	PERS	O
Weston	PERS	PERS
was	O	O
a	O	O
general	O	O
favorite	O	O
;	O	O
and	O	O
when	O	O
the	O	O
chances	O	O
of	O	O
his	O	O
military	O	O
life	O	O
had	O	O
introduced	O	O
him	O	O
to	O	O
Miss	PERS	PERS
Churchill	PERS	PERS
,	O	O
of	O	O
a	O	O
great	O	O
Yorkshire	O	O
family	O	O
,	O	O
and	O	O
Miss	PERS	PERS
Churchill	PERS	PERS
fell	O	O
in	O	O
love	O	O
with	O	O
him	O	O
,	O	O
nobody	O	O
was	O	O
surprized	O	O
,	O	O
except	O	O
her	O	O
brother	O	O
and	O	O
his	O	O
wife	O	O
,	O	O
who	O	O
had	O	O
never	O	O
seen	O	O
him	O	O
,	O	O
and	O	O
who	O	O
were	O	O
full	O	O
of	O	O
pride	O	O
and	O	O
importance	O	O
,	O	O
which	O	O
the	O	O
connexion	O	O
would	O	O
offend	O	O
.	O	O
Miss	PERS	PERS
Churchill	PERS	PERS
,	O	O
however	O	O
,	O	O
being	O	O
of	O	O
age	O	O
,	O	O
and	O	O
with	O	O
the	O	O
full	O	O
command	O	O
of	O	O
her	O	O
fortune	O	O
--	O	O
though	O	O
her	O	O
fortune	O	O
bore	O	O
no	O	O
proportion	O	O
to	O	O
the	O	O
family-estate	O	O
--	O	O
was	O	O
not	O	O
to	O	O
be	O	O
dissuaded	O	O
from	O	O
the	O	O
marriage	O	O
,	O	O
and	O	O
it	O	O
took	O	O
place	O	O
,	O	O
to	O	O
the	O	O
infinite	O	O
mortification	O	O
of	O	O
Mr.	PERS	PERS
and	PERS	PERS
Mrs.	PERS	PERS
Churchill	PERS	PERS
,	O	O
who	O	O
threw	O	O
her	O	O
off	O	O
with	O	O
due	O	O
decorum	O	O
.	O	O
It	O	O
was	O	O
an	O	O
